timestamp,test-class,test-method,time,description,result
2021-06-09 12:04:53.3,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreatePositive,3942,"[1] recordIndex=0, author=Joselu, info=null, text=Prueba el omori, budget=EUR 20.00, important=true",OK
2021-06-09 12:04:55.652,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreatePositive,2132,"[2] recordIndex=0, author=Pedro, info=null, text=¿un valorant?, budget=USD 20.00, important=false",OK
2021-06-09 12:04:58.579,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreatePositive,2742,"[3] recordIndex=0, author=Jose M, info=null, text=*trabajando*, budget=EUR 10.00, important=true",OK
2021-06-09 12:04:59.949,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreateNegative,1193,"[1] recordIndex=0, author=null, info=null, text=null, budget=null, important=null",OK
2021-06-09 12:05:01.376,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreateNegative,1242,"[2] recordIndex=0, author=null, info=null, text=autor vacio, budget=null, important=null",OK
2021-06-09 12:05:02.743,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreateNegative,1195,"[3] recordIndex=0, author=texto vacio, info=null, text=null, budget=null, important=null",OK
2021-06-09 12:05:04.128,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreateNegative,1217,"[4] recordIndex=0, author=Nicol, info=nolink, text=link mal, budget=null, important=null",OK
2021-06-09 12:05:05.562,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreateNegative,1272,"[5] recordIndex=0, author=Jose, info=null, text=autor menor de 5, budget=null, important=null",OK
2021-06-09 12:05:06.965,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreateNegative,1252,"[6] recordIndex=0, author=qwertyuioplkjhgfdsdfghbvfdertgfertgvfdergvferftgvfreftgvfrfgvfrfgrftgfrftgfrthgbvfrtghbvgfrtghbgvftghbvgftghgb, info=null, text=autor mayor de 25, budget=null, important=null",OK
2021-06-09 12:05:08.559,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreateNegative,1435,"[7] recordIndex=0, author=texto mayor de cien, info=null, text=frhjbrehfjbsjhkfdshjgfsdjhbgshbjgfsjhbgfhbjgfhbjgfdjhbgfdjhbgfdhbjfdghbjfdghbjgfdbjhfdgbjhfdvjhbfdvhbjfdvhbjfdhvbjvfdhbjhvfdbjhbgfjvhbjgfdbjhgfbhjgfbhjfdjhbfdvhbjdfvhbjdvfhbjfvhbjvfbhjvfdbhjvfdhbjfvdbjhfvbhjfdhbjfdbjhfdhbjefrdhbjefrdshbjfrdbjhfrbhjfrehbjfrehbjefrhebjfrehbjfrebjhfrbjhfrehbjfrehbjfrehbjfrehbjefrhbjfrebjhfrehbjefrhbjferhbjfrehbjfrehbjferhbjfrehbjfrehbjfrehbjefrhbjefrhbjefrbhjefrhbjefrbjhefrbjhfrejhbfrehbjfrebjhefrbhjefrhbjfrehbjefrhbjfrehbjefrjhbefrbjhefrbjherfhbjfrehbjfrwehbjefrjhbefrhbjefrb…, budget=null, important=null",OK
2021-06-09 12:05:09.98,acme.testing.anonymous.deolet.AnonymousCreateDeoletTest,CreateNegative,1252,"[8] recordIndex=0, author=Joselu, info=null, text=Prueba el omori, budget=Bitcoin 20.00, important=true",OK
