timestamp,test-class,test-method,time,description,result
2021-09-07 14:03:01.883,acme.testing.anonymous.entityToChange.AdministratorDashboardEntityToChangeShowTest,showNegativeCase,2310,"showNegativeCase()",OK
2021-09-07 14:03:03.541,acme.testing.anonymous.entityToChange.AdministratorDashboardEntityToChangeShowTest,show,1473,"show()",OK
2021-09-07 14:03:20.384,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,3827,"[1] recordIndex=0, author=JoanMir, info=null, text=Empty entityToChange, moneyAttributeToChange=null, flagAttributeToChange=false, dateAttributeToChange=null",OK
2021-09-07 14:03:23.218,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2643,"[2] recordIndex=0, author=JoanMir, info=https://corframework.com, text=Empty entityToChange, moneyAttributeToChange=null, flagAttributeToChange=false, dateAttributeToChange=null",OK
2021-09-07 14:03:26.03,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2582,"[3] recordIndex=0, author=Joselu, info=null, text=Prueba el omori, moneyAttributeToChange=EUR 20.00, flagAttributeToChange=true, dateAttributeToChange=2022/04/09 00:00",OK
2021-09-07 14:03:28.82,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2620,"[4] recordIndex=0, author=Joselu, info=null, text=Sin fecha, moneyAttributeToChange=EUR 20.00, flagAttributeToChange=false, dateAttributeToChange=null",OK
2021-09-07 14:03:31.572,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2572,"[5] recordIndex=0, author=Joselu, info=null, text=Sin money, moneyAttributeToChange=null, flagAttributeToChange=false, dateAttributeToChange=2022/04/09 00:00",OK
2021-09-07 14:03:34.348,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2535,"[6] recordIndex=0, author=Pedro, info=null, text=¿un valorant?, moneyAttributeToChange=USD 20.00, flagAttributeToChange=false, dateAttributeToChange=2022/05/06 00:00",OK
2021-09-07 14:03:36.767,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2253,"[7] recordIndex=0, author=Jose M, info=null, text=*trabajando*, moneyAttributeToChange=GBP 10.00, flagAttributeToChange=true, dateAttributeToChange=2022/04/14 00:00",OK
2021-09-07 14:03:39.045,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2107,"[8] recordIndex=0, author=Juan Gil, info=null, text=*descansando*, moneyAttributeToChange=EUR 0.00, flagAttributeToChange=true, dateAttributeToChange=2022/05/20 00:00",OK
