timestamp,test-class,test-method,time,description,result
2021-09-05 14:44:31.098,acme.testing.accounts.UpdateUserAccountTest,negativeUpdate,2502,"[1] username=null, password=null, name=null, surname=null, email=null",OK
2021-09-05 14:44:33.841,acme.testing.accounts.UpdateUserAccountTest,negativeUpdate,2505,"[2] username=juan21, password=johnny, name=johnny, surname=Johnny, email=López",OK
2021-09-05 14:44:36.517,acme.testing.accounts.UpdateUserAccountTest,negativeUpdate,2466,"[3] username=lola21, password=lorraine, name=lorraine, surname=Lorraine, email=Williams",OK
2021-09-05 14:44:39.144,acme.testing.accounts.UpdateUserAccountTest,negativeUpdate,2412,"[4] username=notvalid, password=12345, name=12345, surname=juan, email=dfonew",OK
2021-09-05 14:44:41.726,acme.testing.accounts.UpdateUserAccountTest,negativeUpdate,2377,"[5] username=notvalid, password=123456, name=1234567, surname=&$%&·$%, email=$·%&·$&",OK
2021-09-05 14:44:44.269,acme.testing.accounts.UpdateUserAccountTest,negativeUpdate,2351,"[6] username=notvalid, password=&$%&·$%, name=&$%&·$%, surname=$·%&·$&, email=yellow-house.com",OK
2021-09-05 14:44:48.488,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,4006,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com",OK
2021-09-05 14:44:52.657,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,3995,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com",OK
2021-09-05 14:44:56.797,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,3960,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es",OK
2021-09-05 14:45:00.995,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,3998,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com",OK
2021-09-05 14:45:05.156,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,3974,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw",OK
2021-09-05 14:45:09.269,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,3925,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name",OK
2021-09-05 14:45:13.498,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,4044,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com",OK
2021-09-05 14:45:18.457,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,4777,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com",OK
2021-09-05 14:45:22.916,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,4274,"[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com",OK
2021-09-05 14:45:28.686,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,5564,"[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de",OK
2021-09-05 14:45:33.234,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,4369,"[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com",OK
2021-09-05 14:45:37.594,acme.testing.accounts.UpdateUserAccountTest,positiveUpdate,4156,"[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com",OK
2021-09-05 14:45:44.891,acme.testing.accounts.SignUpTest,positiveSignUp,1832,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com",OK
2021-09-05 14:45:46.56,acme.testing.accounts.SignUpTest,positiveSignUp,1481,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com",OK
2021-09-05 14:45:48.338,acme.testing.accounts.SignUpTest,positiveSignUp,1588,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es",OK
2021-09-05 14:45:50.193,acme.testing.accounts.SignUpTest,positiveSignUp,1632,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com",OK
2021-09-05 14:45:51.998,acme.testing.accounts.SignUpTest,positiveSignUp,1619,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw",OK
2021-09-05 14:45:54.002,acme.testing.accounts.SignUpTest,positiveSignUp,1801,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name",OK
2021-09-05 14:45:55.669,acme.testing.accounts.SignUpTest,positiveSignUp,1494,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com",OK
2021-09-05 14:45:57.69,acme.testing.accounts.SignUpTest,positiveSignUp,1847,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com",OK
2021-09-05 14:45:59.414,acme.testing.accounts.SignUpTest,positiveSignUp,1529,"[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com",OK
2021-09-05 14:46:01.243,acme.testing.accounts.SignUpTest,positiveSignUp,1640,"[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de",OK
2021-09-05 14:46:03.182,acme.testing.accounts.SignUpTest,positiveSignUp,1708,"[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com",OK
2021-09-05 14:46:04.953,acme.testing.accounts.SignUpTest,positiveSignUp,1582,"[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com",OK
2021-09-05 14:46:22.977,acme.testing.anonymous.workplan.AnonymousWorkPlanTest,listAndShowNegative,2819,"[1] recordIndex=0, title=Acme One, description=First Deliverable DP2, isPublic=3.00, startDate=2022/06/01 23:59, finishDate=2022/09/20 23:59, tasks=Mantenimiento;Documentacion",OK
2021-09-05 14:46:25.373,acme.testing.anonymous.workplan.AnonymousWorkPlanTest,listAndShowNegative,2208,"[2] recordIndex=1, title=Acme Work-Plans, description=Second Deliverable DP2, isPublic=3.00, startDate=2022/06/01 23:59, finishDate=2022/09/20 23:59, tasks=Mantenimiento;Documentacion",OK
2021-09-05 14:46:27.974,acme.testing.anonymous.workplan.AnonymousWorkPlanTest,listAndShowNegative,2414,"[3] recordIndex=2, title=DP1 project, description=The best DP1 project, isPublic=3.00, startDate=2022/06/01 23:59, finishDate=2022/09/20 23:59, tasks=Mantenimiento;Documentacion",OK
2021-09-05 14:46:30.467,acme.testing.anonymous.workplan.AnonymousWorkPlanTest,listAndShowNegative,2276,"[4] recordIndex=3, title=ASR pro failed, description=How to fail, isPublic=3.00, startDate=2022/06/01 23:59, finishDate=2022/09/20 23:59, tasks=Mantenimiento;Documentacion",OK
2021-09-05 14:46:32.804,acme.testing.anonymous.workplan.AnonymousWorkPlanTest,listAndShowNegative,2157,"[5] recordIndex=4, title=Juan Project, description=The best starter 5, isPublic=3.00, startDate=2022/06/01 23:59, finishDate=2022/09/20 23:59, tasks=Mantenimiento;Documentacion",OK
2021-09-05 14:46:35.177,acme.testing.anonymous.workplan.AnonymousWorkPlanTest,listAndShowNegative,2199,"[6] recordIndex=5, title=Lola workplan, description=The best starter 2.0, isPublic=1.30, startDate=2022/06/01 23:59, finishDate=2022/09/20 23:59, tasks=Lola Task",OK
2021-09-05 14:46:37.577,acme.testing.anonymous.workplan.AnonymousWorkPlanTest,listAndShowNegative,2203,"[7] recordIndex=6, title=Future project, description=The best future project, isPublic=0.00, startDate=2022/06/01 23:59, finishDate=2023/09/20 23:59, tasks=null",OK
