timestamp,test-class,test-method,time,description,result
2021-09-05 14:04:43.638,acme.testing.anonymous.entityToChange.AdministratorDashboardEntityToChangeShowTest,showNegativeCase,1839,"showNegativeCase()",OK
2021-09-05 14:04:45.494,acme.testing.anonymous.entityToChange.AdministratorDashboardEntityToChangeShowTest,show,1642,"show()",OK
2021-09-05 14:04:53.188,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2510,"[1] recordIndex=0, author=JoanMir, info=null, text=Empty entityToChange, moneyAttributeToChange=null, flag=null, dateAttributeToChange=null",Expected value 'null' in attribute 6 of record 0, but found 'false'
2021-09-05 14:04:56.075,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2708,"[2] recordIndex=0, author=JoanMir, info=https://corframework.com, text=Empty entityToChange, moneyAttributeToChange=null, flag=null, dateAttributeToChange=null",Expected value 'null' in attribute 6 of record 0, but found 'false'
2021-09-05 14:04:59.064,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2769,"[3] recordIndex=0, author=Joselu, info=null, text=Prueba el omori, moneyAttributeToChange=EUR 20.00, flag=true, dateAttributeToChange=2022/04/09 00:00",OK
2021-09-05 14:05:02.133,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2848,"[4] recordIndex=0, author=Joselu, info=null, text=Sin fecha, moneyAttributeToChange=EUR 20.00, flag=false, dateAttributeToChange=null",OK
2021-09-05 14:05:05.24,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2718,"[5] recordIndex=0, author=Joselu, info=null, text=Sin money, moneyAttributeToChange=null, flag=false, dateAttributeToChange=2022/04/09 00:00",OK
2021-09-05 14:05:08.221,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2790,"[6] recordIndex=0, author=Pedro, info=null, text=¿un valorant?, moneyAttributeToChange=USD 20.00, flag=false, dateAttributeToChange=2022/05/06 00:00",OK
2021-09-05 14:05:10.91,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2504,"[7] recordIndex=0, author=Jose M, info=null, text=*trabajando*, moneyAttributeToChange=GBP 10.00, flag=true, dateAttributeToChange=2022/04/14 00:00",OK
2021-09-05 14:05:13.663,acme.testing.anonymous.entityToChange.AnonymousCreateEntityToChangeTest,CreatePositive,2561,"[8] recordIndex=0, author=Juan Gil, info=null, text=*descansando*, moneyAttributeToChange=EUR 0.00, flag=true, dateAttributeToChange=2022/05/20 00:00",OK
